,Titles,Years
15072,"miniMAVS, You Complete Me!",2014
15073,mTORC1: turning off is just as important as turning on.,2014
15074,Galectin-1 Pulls the Strings on VEGFR2.,2014
15075,X-ray structure of acid-sensing ion channel 1-snake toxin complex reveals open state of a Na(+)-selective channel.,2014
15076,Nonstochastic reprogramming from a privileged somatic cell state.,2014
15077,Generation of gene-modified cynomolgus monkey via Cas9/RNA-mediated gene targeting in one-cell embryos.,2014
15078,Obituary: Janet Davison Rowley 1925-2013.,2014
15079,Mathematical modeling of PDGF-driven glioblastoma reveals optimized radiation dosing schedules.,2014
15080,Sensitizing protective tumor microenvironments to antibody-mediated therapy.,2014
15081,Structural basis for DNA binding specificity by the auxin-dependent ARF transcription factors.,2014
15082,Progesterone receptor in the vascular endothelium triggers physiological uterine permeability preimplantation.,2014
15083,Motor-circuit communication matrix from spinal cord to brainstem neurons revealed by developmental origin.,2014
15084,Control of stress-induced persistent anxiety by an extra-amygdala septohypothalamic circuit.,2014
15085,Sensing of amino acids in a dopaminergic circuitry promotes rejection of an incomplete diet in Drosophila.,2014
15086,Extracellular architecture of the SYG-1/SYG-2 adhesion complex instructs synaptogenesis.,2014
15087,Molecular mechanism of autophagic membrane-scaffold assembly and disassembly.,2014
15088,Crosstalk between sentinel and helper macrophages permits neutrophil migration into infected uroepithelium.,2014
15089,Lung stem cell differentiation in mice directed by endothelial cells via a BMP4-NFATc1-thrombospondin-1 axis.,2014
15090,DNA damage triggers Golgi dispersal via DNA-PK and GOLPH3.,2014
15091,You are what you host: microbiome modulation of the aging process.,2014
15092,Progeria: a paradigm for translational medicine.,2014
15093,"Sex-specific aging in flies, worms, and missing great-granddads.",2014
15094,Mom's milk molds neural wiring for metabolism.,2014
15095,The changing lipidome during cell division.,2014
15096,Golgi feels DNA's pain.,2014
15097,Neural stem cell dissemination after grafting to CNS injury sites.,2014
15098,Long-distance migration and colonization of transplanted neural stem cells.,2014
15099,Neonatal insulin action impairs hypothalamic neurocircuit formation in response to maternal high-fat feeding.,2014
15100,Dividing cells regulate their lipid composition and localization.,2014
15101,Redox modification of nuclear actin by MICAL-2 regulates SRF signaling.,2014
15102,SnapShot: Lipid kinase and phosphatase reaction pathways.,2014
15103,De novo inference of systems-level mechanistic models of development from live-imaging-based phenotype analysis.,2014
15104,Leveraging cross-species transcription factor binding site patterns: from diabetes risk loci to disease mechanisms.,2014
15105,The architecture of parent-of-origin effects in mice.,2014
15106,Regulation of ferroptotic cancer cell death by GPX4.,2014
15107,Ablation of PRDM16 and beige adipose causes metabolic dysfunction and a subcutaneous to visceral fat switch.,2014
15108,An O2-sensitive glomus cell-stem cell synapse induces carotid body growth in chronic hypoxia.,2014
15109,"Myelin membrane wrapping of CNS axons by PI(3,4,5)P3-dependent polarized growth at the inner tongue.",2014
15110,Epigenetic priming of memory updating during reconsolidation to attenuate remote fear memories.,2014
15111,Multilevel modulation of a sensory motor circuit during C. elegans sleep and arousal.,2014
15112,Genetic identification and separation of innate and experience-dependent courtship behaviors in Drosophila.,2014
15113,Tachykinin-expressing neurons control male-specific aggressive arousal in Drosophila.,2014
15114,Local F-actin network links synapse formation and axon branching.,2014
15115,The WAVE regulatory complex links diverse receptors to the actin cytoskeleton.,2014
15116,Potentiated Hsp104 variants antagonize diverse proteotoxic misfolding events.,2014
15117,Inefficient SRP interaction with a nascent chain triggers a mRNA quality control pathway.,2014
15118,Sphingolipids from a symbiotic microbe regulate homeostasis of host intestinal natural killer T cells.,2014
15119,PGRP-SC2 promotes gut immune homeostasis to limit commensal dysbiosis and extend lifespan.,2014
15120,An extracellular bacterial pathogen modulates host metabolism to regulate its own sensing and proliferation.,2014
15121,Neuronal control of metabolism through nutrient-dependent modulation of tracheal branching.,2014
15122,"Reversing DNA methylation: mechanisms, genomics, and biological functions.",2014
15123,What we talk about when we talk about fat.,2014
15124,Bistable parvalbumin circuits pivotal for brain plasticity.,2014
15125,Myelin formation and remodeling.,2014
15126,The shape of things to come.,2014
15127,40 years young.,2014
15128,Microbiota-generated metabolites promote metabolic benefits via gut-brain neural circuits.,2014
15129,Premature activation of the SLX4 complex by Vpr promotes G2/M arrest and escape from innate immune sensing.,2014
15130,The N-terminal methionine of cellular proteins as a degradation signal.,2014
15131,The bacterial cytoplasm has glass-like properties and is fluidized by metabolic activity.,2014
15132,SnapShot: lipid kinases and phosphatases.,2013
15133,Declining NAD(+) induces a pseudohypoxic state disrupting nuclear-mitochondrial communication during aging.,2013
15134,A bidirectional circuit switch reroutes pheromone signals in male and female brains.,2013
15135,Microglia promote learning-dependent synapse formation through brain-derived neurotrophic factor.,2013
15136,Brd4 and JMJD6-associated anti-pause enhancers in regulation of transcriptional pause release.,2013
15137,Mammalian 5'-capped microRNA precursors that generate a single microRNA.,2013
15138,miR-9a minimizes the phenotypic impact of genomic diversity by buffering a transcription factor.,2013
15139,Argonautes promote male fertility and provide a paternal memory of germline gene expression in C. elegans.,2013
15140,Rapid and pervasive changes in genome-wide enhancer usage during mammalian development.,2013
15141,Interactome maps of mouse gene regulatory domains reveal basic principles of transcriptional regulation.,2013
15142,Genome analyses of single human oocytes.,2013
15143,Dynamic imaging of genomic loci in living human cells by an optimized CRISPR/Cas system.,2013
15144,Reprogramming of the circadian clock by nutritional challenge.,2013
15145,Probing DNA by 2-OG-dependent dioxygenase.,2013
15146,Toward effective probiotics for autism and other neurodevelopmental disorders.,2013
15147,Education evolving: teaching biology online.,2013
15148,Collective invasion in breast cancer requires a conserved basal epithelial program.,2013
15149,Crystal structure of TET2-DNA complex: insight into TET-mediated 5mC oxidation.,2013
15150,Microbiota modulate behavioral and physiological abnormalities associated with neurodevelopmental disorders.,2013
15151,Using optogenetics to interrogate the dynamic control of signal transmission by the Ras/Erk module.,2013
15152,Circadian control of global gene expression by the cyanobacterial master regulator RpaA.,2013
15153,Genome-wide map of nuclear protein degradation shows NCoR1 turnover as a key to mitochondrial gene regulation.,2013
15154,Targeting a dual detector of skin and CO2 to modify mosquito host seeking.,2013
15155,"Parallel, redundant circuit organization for homeostatic control of feeding behavior.",2013
15156,Modulation of circadian glucocorticoid oscillation via adrenal opioid-CXCR7 signaling alters emotional behavior.,2013
15157,Glucocorticoid receptor confers resistance to antiandrogens by bypassing androgen receptor blockade.,2013
15158,Tryptophan biosynthesis protects mycobacteria from CD4 T-cell-mediated killing.,2013
15159,A special population of regulatory T cells potentiates muscle repair.,2013
15160,Proteolysis inside the membrane is a rate-governed reaction not driven by substrate affinity.,2013
15161,A super-assembly of Whi3 encodes memory of deceptive encounters by single cells during yeast courtship.,2013
15162,Integrated structural analysis of the human nuclear pore complex scaffold.,2013
15163,Incisive imaging and computation for cellular mysteries: lessons from abscission.,2013
15164,Autophagy-mediated tumor promotion.,2013
15165,snRNA catalysts in the spliceosome's ancient core.,2013
15166,Glucocorticoid rhythm renders female mice more daring.,2013
15167,Trp'ing tuberculosis.,2013
15168,Structure modeling using genetically engineered crosslinking.,2013
15169,A prize for membrane magic.,2013
15170,Foundations of biomolecular modeling.,2013
15171,Isogenic human iPSC Parkinson's model shows nitrosative stress-induced dysfunction in MEF2-PGC1α transcription.,2013
15172,Genetically encoded chemical probes in cells reveal the binding path of urocortin-I to CRF class B GPCR.,2013
15173,"High-resolution mapping reveals a conserved, widespread, dynamic mRNA methylation program in yeast meiosis.",2013
15174,SnapShot: Root development.,2013
15175,Retraction Notice to: A PLETHORA-auxin transcription module controls cell division plane rotation through MAP65 and CLASP.,2013
15176,Temporal response of the human virome to immunosuppression and antiviral therapy.,2013
15177,Probabilistic splicing of Dscam1 establishes identity at the level of single neurons.,2013
15178,Δ9-THC-caused synaptic and memory impairments are mediated through COX-2 signaling.,2013
15179,Olfactory control of blood progenitor maintenance.,2013
15180,Biogenesis of a bacterial organelle: the carboxysome assembly pathway.,2013
15181,ATR prohibits replication catastrophe by preventing global exhaustion of RPA.,2013
15182,Phosphorylation-regulated binding of RNA polymerase II to fibrous polymers of low-complexity domains.,2013
15183,Affinity proteomics reveals human host factors implicated in discrete stages of LINE-1 retrotransposition.,2013
15184,A polymorphism in IRF4 affects human pigmentation through a tyrosinase-dependent MITF/TFAP2A pathway.,2013
15185,Integrative functional genomic analyses implicate specific molecular pathways and circuits in autism.,2013
15186,Coexpression networks implicate human midfetal deep cortical projection neurons in the pathogenesis of autism.,2013
15187,Divergent transcription: a driving force for new gene origination?,2013
15188,Extracting insight from noisy cellular networks.,2013
15189,Blood scent.,2013
15190,Naked replication forks break apRPArt.,2013
15191,A new development in senescence.,2013
15192,Programmed cell senescence during mammalian embryonic development.,2013
15193,Senescence is a developmental mechanism that contributes to embryonic growth and patterning.,2013
15194,Mtr4-like protein coordinates nuclear RNA processing for heterochromatin assembly and for telomere maintenance.,2013
15195,Transcriptome surveillance by selective termination of noncoding RNA synthesis.,2013
15196,David Hubel 1926-2013.,2013
15197,"KSR2 mutations are associated with obesity, insulin resistance, and impaired cellular fuel oxidation.",2013
15198,SnapShot: genetics of Alzheimer's disease.,2013
15199,A developmental switch coupled to the evolution of plasticity acts through a sulfatase.,2013
15200,A zebrafish embryo culture system defines factors that promote vertebrate myogenesis across species.,2013
15201,Injury-induced HDAC5 nuclear export is essential for axon regeneration.,2013
15202,Opposing dopaminergic and GABAergic neurons control the duration and persistence of copulation in Drosophila.,2013
15203,Feedback control of gene expression variability in the Caenorhabditis elegans Wnt pathway.,2013
15204,The landscape of microsatellite instability in colorectal and endometrial cancer genomes.,2013
15205,Depletion of a putatively druggable class of phosphatidylinositol kinases inhibits growth of p53-null tumors.,2013
15206,A four-step cycle driven by PI(4)P hydrolysis directs sterol/PI(4)P exchange by the ER-Golgi tether OSBP.,2013
15207,A Cul4 E3 ubiquitin ligase regulates histone hand-off during nucleosome assembly.,2013
15208,A retrotransposon-driven dicer isoform directs endogenous small interfering RNA production in mouse oocytes.,2013
15209,RNA-methylation-dependent RNA processing controls the speed of the circadian clock.,2013
15210,Lin28 enhances tissue repair by reprogramming cellular metabolism.,2013
15211,Mechanisms governing metastatic dormancy and reactivation.,2013
15212,The frustrated gene: origins of eukaryotic gene expression.,2013
15213,"Developmental plasticity, straight from the worm's mouth.",2013
15214,m(6)A mRNA methylation: a new circadian pacesetter.,2013
15215,Lin28: time for tissue repair.,2013
15216,Cumulative haploinsufficiency and triplosensitivity drive aneuploidy patterns and shape the cancer genome.,2013
15217,Achieving an AIDS-free world: science and implementation.,2013
15218,Super-enhancers in the control of cell identity and disease.,2013
15219,SnapShot: broadly neutralizing antibodies.,2013
15220,Dynamic trans-acting factor colocalization in human cells.,2013
15221,Muscle mitohormesis promotes longevity via systemic repression of insulin signaling.,2013
15222,Modular control of glutamatergic neuronal identity in C. elegans by distinct homeodomain proteins.,2013
15223,CtpB assembles a gated protease tunnel regulating cell-cell signaling during spore formation in Bacillus subtilis.,2013
15224,The ClpXP protease unfolds substrates using a constant rate of pulling but different gears.,2013
15225,Hierarchical mechanisms for direct reprogramming of fibroblasts to neurons.,2013
15226,Chromosomal contact permits transcription between coregulated genes.,2013
15227,An unusual topological structure of the HIV-1 Rev response element.,2013
15228,Gle1 functions during mRNA export in an oligomeric complex that is altered in human disease.,2013
15229,Systematic identification of molecular subtype-selective vulnerabilities in non-small-cell lung cancer.,2013
15230,Replication-competent noninduced proviruses in the latent reservoir increase barrier to HIV-1 cure.,2013
15231,Protective efficacy of a global HIV-1 mosaic vaccine against heterologous SHIV challenges in rhesus monkeys.,2013
15232,An integrated overview of HIV-1 latency.,2013
15233,Exploring concentration response in HIV pre-exposure prophylaxis to optimize clinical care and trial design.,2013
15234,T cell susceptibility to HIV influences outcome of opportunistic infections.,2013
15235,ClpX shifts into high gear to unfold stable proteins.,2013
15236,"Stochastic responses are not left to pure ""chance"".",2013
15237,Stochastic fate selection in HIV-infected patients.,2013
15238,First steps toward a globally effective HIV/AIDS vaccine.,2013
15239,Hypermutation of the inactive X chromosome is a frequent event in cancer.,2013
15240,"Generation and dynamics of an endogenous, self-generated signaling gradient across a migrating tissue.",2013
15241,Cyclic dinucleotides trigger ULK1 (ATG1) phosphorylation of STING to prevent sustained innate immune signaling.,2013
15242,SnapShot: Neuromodulation.,2013
15243,The somatic genomic landscape of glioblastoma.,2013
15244,The dynamics of signaling as a pharmacological target.,2013
15245,The bacterial effector VopL organizes actin into filament-like structures.,2013
15246,A polymorphic p53 response element in KIT ligand influences cancer risk and has undergone natural selection.,2013
15247,PKM2 isoform-specific deletion reveals a differential requirement for pyruvate kinase in tumor cells.,2013
15248,Identification of liver cancer progenitors whose malignant progression depends on autocrine IL-6 signaling.,2013
15249,Differentiated Troy+ chief cells act as reserve stem cells to generate all lineages of the stomach epithelium.,2013
15250,Super-resolution fluorescence imaging of telomeres reveals TRF2-dependent T-loop formation.,2013
15251,Asymmetric inheritance of centrosome-associated primary cilium membrane directs ciliogenesis after cell division.,2013
15252,Co-opting the unfolded protein response to elicit olfactory receptor feedback.,2013
15253,Skin-derived cues control arborization of sensory dendrites in Caenorhabditis elegans.,2013
15254,An extracellular adhesion molecule complex patterns dendritic branching and morphogenesis.,2013
15255,Mechano-gated ion channels in sensory systems.,2013
15256,Singular expression of olfactory receptor genes.,2013
15257,Remembrance of cilia past.,2013
15258,SAX-7 and menorin light the path for dendrite morphogenesis.,2013
15259,The missing link between itch and inflammation in atopic dermatitis.,2013
15260,The epithelial cell-derived atopic dermatitis cytokine TSLP activates neurons to induce itch.,2013
15261,MEF2 is an in vivo immune-metabolic switch.,2013
15262,The proliferation-quiescence decision is controlled by a bifurcation in CDK2 activity at mitotic exit.,2013
15263,Genetic variants regulating immune cell levels in health and disease.,2013
15264,Maternal and offspring pools of osteocalcin influence brain development and functions.,2013
15265,Retinoic acid signaling is essential for embryonic hematopoietic stem cell development.,2013
15266,NCoR repression of LXRs restricts macrophage biosynthesis of insulin-sensitizing omega 3 fatty acids.,2013
15267,Mitochondrial dynamics controlled by mitofusins regulate Agrp neuronal activity and diet-induced obesity.,2013
15268,Mitofusin 2 in POMC neurons connects ER stress with leptin resistance and energy imbalance.,2013
15269,The cell-cycle state of stem cells determines cell fate propensity.,2013
15270,Dnmt3L antagonizes DNA methylation at bivalent promoters and favors DNA methylation at gene bodies in ESCs.,2013
15271,Hira-dependent histone H3.3 deposition facilitates PRC2 recruitment at developmental loci in ES cells.,2013
15272,Transcription recovery after DNA damage requires chromatin priming by the H3.3 histone chaperone HIRA.,2013
15273,Mutation in folate metabolism causes epigenetic instability and transgenerational effects on development.,2013
15274,A nondegenerate code of deleterious variants in Mendelian loci contributes to complex disease risk.,2013
15275,Mapping human epigenomes.,2013
15276,The next-generation sequencing revolution and its impact on genomics.,2013
15277,Distilling pathophysiology from complex disease genetics.,2013
15278,Cerebral organoids in a dish: progress and prospects.,2013
15279,Mitofusins: mighty regulators of metabolism.,2013
15280,"For genomes to stay in shape, insulators must be up to PAR.",2013
15281,G1 compartmentalization and cell fate coordination.,2013
15282,FOXO in the hole: leveraging GWAS for outcome and function.,2013
15283,Poly(ADP-ribosyl)ation regulates insulator function and intrachromosomal interactions in Drosophila.,2013
15284,Mitochondrial cristae shape determines respiratory chain supercomplexes assembly and respiratory efficiency.,2013
15285,Human SNP links differential outcomes in inflammatory and infectious disease to a FOXO3-regulated pathway.,2013
15286,High-content siRNA screen reveals global ENaC regulators and potential cystic fibrosis therapy targets.,2013
15287,Decoding information in cell shape.,2013
15288,Lck availability during thymic selection determines the recognition specificity of the T cell repertoire.,2013
15289,Agonist-independent GPCR activity regulates anterior-posterior targeting of olfactory sensory neurons.,2013
15290,Dynein recruitment to nuclear pores activates apical nuclear migration and mitotic entry in brain progenitor cells.,2013
15291,Diverse autophagosome membrane sources coalesce in recycling endosomes.,2013
15292,"EGFR-mediated Beclin 1 phosphorylation in autophagy suppression, tumor progression, and tumor chemoresistance.",2013
15293,Molecular structure of β-amyloid fibrils in Alzheimer's disease brain tissue.,2013
15294,SWR-C and INO80 chromatin remodelers recognize nucleosome-free regions near +1 nucleosomes.,2013
15295,Nucleosome-free region dominates histone acetylation in targeting SWR1 to promoters for H2A.Z replacement.,2013
15296,Molecular architecture of the ATP-dependent chromatin-remodeling complex SWR1.,2013
15297,Structure and subunit topology of the INO80 chromatin remodeler and its nucleosome complex.,2013
15298,The regulation of cell size.,2013
15299,Long noncoding RNAs usher in a new era in the biology of enhancers.,2013
15300,Motion detection: neuronal circuit meets theory.,2013
15301,Intrinsic activity of odorant receptors guides sensory map formation.,2013
15302,Self-eating limits EGFR-dependent tumor growth.,2013
15303,A template for new drugs against Alzheimer's disease.,2013
15304,Every life has equal value.,2013
15305,A tribute to a remarkably sound solution.,2013
15306,Rapid release revealed: honoring the synapse.,2013
15307,Spatial organization of Hippo signaling at the plasma membrane mediated by the tumor suppressor Merlin/NF2.,2013
15308,One-step generation of mice carrying reporter and conditional alleles by CRISPR/Cas-mediated genome engineering.,2013
15309,Double nicking by RNA-guided CRISPR Cas9 for enhanced genome editing specificity.,2013
15310,Robert P. Perry 1931-2013.,2013
15311,An interactive resource to identify cancer genetic and lineage dependencies targeted by small molecules.,2013
15312,(p)ppGpp controls bacterial persistence by stochastic induction of toxin-antitoxin activity.,2013
15313,S. cerevisiae chromosomes biorient via gradual resolution of syntely between S phase and anaphase.,2013
15314,Clonal analysis unveils self-renewing lineage-restricted progenitors generated directly from hematopoietic stem cells.,2013
15315,The CRTC1-SIK1 pathway regulates entrainment of the circadian clock.,2013
15316,A gain-of-function mutation in DHT synthesis in castration-resistant prostate cancer.,2013
15317,Selection of bone metastasis seeds by mesenchymal signals in the primary tumor stroma.,2013
15318,Allosteric activation of functionally asymmetric RAF kinase dimers.,2013
15319,Endogenous nuclear RNAi mediates behavioral adaptation to odor.,2013
15320,A transcriptome-wide atlas of RNP composition reveals diverse classes of mRNAs and lncRNAs.,2013
15321,"Proteasome-mediated processing of Def1, a critical step in the cellular response to transcription stress.",2013
15322,Identification of long-lived proteins reveals exceptional stability of essential cellular structures.,2013
15323,Cyclic dinucleotides and the innate immune response.,2013
15324,"At the (kineto)chore, yeast really are like people.",2013
15325,Breast cancer bone metastases: it's all about the neighborhood.,2013
15326,Should I stay or should I go: neuromodulators of behavioral states.,2013
15327,Genome biology: not drowning but waving.,2013
15328,Science on set.,2013
15329,Serotonin and the neuropeptide PDF initiate and extend opposing behavioral states in C. elegans.,2013
15330,"Beclin 2 functions in autophagy, degradation of G protein-coupled receptors, and metabolism.",2013
15331,A mechanical checkpoint controls multicellular growth through YAP/TAZ regulation by actin-processing factors.,2013
15332,SnapShot: Class I PI3K isoform signaling.,2013
15333,A nanobody-based system using fluorescent proteins as scaffolds for cell-specific gene manipulation.,2013
15334,Chromatin position effects assayed by thousands of reporters integrated in parallel.,2013
15335,Developmental fate and cellular maturity encoded in human regulatory DNA landscapes.,2013
15336,Exploitation of latent allostery enables the evolution of new modes of MAP kinase regulation.,2013
15337,Inhibition of mTORC1 by astrin and stress granules prevents apoptosis in cancer cells.,2013
15338,Genetic tracing via DNGR-1 expression history defines dendritic cells as a hematopoietic lineage.,2013
15339,Adult c-kit(pos) cardiac stem cells are necessary and sufficient for functional cardiac regeneration and repair.,2013
15340,The yeast ski complex: crystal structure and RNA channeling to the exosome complex.,2013
15341,Transcription factor binding in human cells occurs in dense clusters formed around cohesin anchor sites.,2013
15342,Precise developmental gene expression arises from globally stochastic transcriptional activity.,2013
15343,Structural rearrangement of ebola virus VP40 begets multiple functions in the virus life cycle.,2013
15344,A neo-substrate that amplifies catalytic activity of parkinson's-disease-related kinase PINK1.,2013
15345,Altered ribostasis: RNA-protein granules in degenerative disorders.,2013
15346,Single-molecule approaches embrace molecular cohorts.,2013
15347,Of origins and pedigrees: lineage tracing of dendritic cells.,2013
15348,A cluster to remember.,2013
15349,Bumping up kinase activity with an ATP-derived neo-substrate.,2013
15350,Mechanistic interpretation of promoter-proximal peaks and RNAPII density maps.,2013
15351,Genetically targeted optical electrophysiology in intact neural circuits.,2013
15352,"From structure to systems: high-resolution, quantitative genetic analysis of RNA polymerase II.",2013
15353,"Structure-function analysis of STING activation by c[G(2',5')pA(3',5')p] and targeting by antiviral DMXAA.",2013
15354,"SnapShot: caveolae, caveolins, and cavins.",2013
15355,PQM-1 complements DAF-16 as a key transcriptional regulator of DAF-2-mediated development and longevity.,2013
15356,Transformed Drosophila cells evade diet-mediated insulin resistance through wingless signaling.,2013
15357,Role of PFKFB3-driven glycolysis in vessel sprouting.,2013
15358,A prolyl-isomerase mediates dopamine-dependent plasticity and cocaine motor sensitization.,2013
15359,Proteotoxic stress induces a cell-cycle arrest by stimulating Lon to degrade the replication initiator DnaA.,2013
15360,Coupling of mitochondrial import and export translocases by receptor-mediated supercomplex formation.,2013
15361,Orchestrated intron retention regulates normal granulocyte differentiation.,2013
15362,BET bromodomains mediate transcriptional pause release in heart failure.,2013
15363,Pharmacological inactivation of Skp2 SCF ubiquitin ligase restricts cancer stem cell traits and cancer progression.,2013
15364,Cooperativity and rapid evolution of cobound transcription factors in closely related mammals.,2013
15365,Spatial and temporal mapping of de novo mutations in schizophrenia to a fetal prefrontal cortical network.,2013
15366,AMPD2 regulates GTP synthesis and is mutated in a potentially treatable neurodegenerative brainstem disorder.,2013
15367,Mechanisms and functions of ATP-dependent chromatin-remodeling enzymes.,2013
15368,Statistical mechanics of pluripotency.,2013
15369,Of rats and men.,2013
15370,A histone modifier's ill-gotten copy gains.,2013
15371,Deubiquitinases sharpen substrate discrimination during membrane protein degradation from the ER.,2013
15372,Genome sequencing reveals loci under artificial selection that underlie disease phenotypes in the laboratory rat.,2013
15373,"Just a trim, please: refining ER degradation through deubiquitination.",2013
15374,KDM4A lysine demethylase induces site-specific copy gain and rereplication of regions amplified in tumors.,2013
15375,SnapShot: pathobiology of Alzheimer's disease.,2013
15376,Genome-wide generation and systematic phenotyping of knockout mice reveals new roles for many genes.,2013
15377,The NAD(+)/Sirtuin Pathway Modulates Longevity through Activation of Mitochondrial UPR and FOXO Signaling.,2013
15378,Sulfur amino acids regulate translational capacity and metabolic homeostasis through modulation of tRNA thiolation.,2013
15379,Methionine inhibits autophagy and promotes growth by inducing the SAM-responsive methylation of PP2A.,2013
15380,Cortical dynein and asymmetric membrane elongation coordinately position the spindle in anaphase.,2013
15381,Marking and measuring single microtubules by PRC1 and kinesin-4.,2013
15382,Noncanonical autophagy promotes the visual cycle.,2013
15383,A network of cadherin-mediated interactions polarizes growth cones to determine targeting specificity.,2013
15384,Synapse location during growth depends on glia location.,2013
15385,An epigenetic trap stabilizes singular olfactory receptor expression.,2013
15386,"SET1 and p300 act synergistically, through coupled histone modifications, in transcriptional activation by p53.",2013
15387,Stacked endoplasmic reticulum sheets are connected by helicoidal membrane motifs.,2013
15388,"The intestinal crypt, a prototype stem cell compartment.",2013
15389,Aging: seeking mitonuclear balance.,2013
15390,Born equal: dual safeguards for daughter cell size symmetry.,2013
15391,Glia keep synapse distribution under wraps.,2013
15392,Differential geometry meets the cell.,2013
15393,Recognition for an innate explorer.,2013
15394,CRISPR-mediated modular RNA-guided regulation of transcription in eukaryotes.,2013
15395,MicroRNA-antagonism regulates breast cancer stemness and metastasis via TET-family-dependent chromatin remodeling.,2013
15396,SnapShot: mass spectrometry for protein and proteome analyses.,2013
15397,An extracellular interactome of immunoglobulin and LRR proteins reveals receptor-ligand networks.,2013
15398,Lipidomic profiling of influenza infection identifies mediators that induce and resolve inflammation.,2013
15399,A systems analysis identifies a feedforward inflammatory circuit leading to lethal influenza infection.,2013
15400,The evolution of lineage-specific regulatory activities in the human embryonic limb.,2013
15401,OTU deubiquitinases reveal mechanisms of linkage specificity and enable ubiquitin chain restriction analysis.,2013
15402,Observing a DNA polymerase choose right from wrong.,2013
15403,A bacterial virulence protein promotes pathogenicity by inhibiting the bacterium's own F1Fo ATP synthase.,2013
15404,Second cistron in CACNA1A gene encodes a transcription factor mediating cerebellar development and SCA6.,2013
15405,Distinct α-synuclein strains differentially promote tau inclusions in neurons.,2013
15406,Presynaptic neurexin-3 alternative splicing trans-synaptically controls postsynaptic AMPA receptor trafficking.,2013
15407,Poised chromatin at the ZEB1 promoter enables breast cancer cell plasticity and enhances tumorigenicity.,2013
15408,Catastrophic nuclear envelope collapse in cancer cell micronuclei.,2013
15409,"lincRNAs: genomics, evolution, and mechanisms.",2013
15410,Piecing together the extracellular puzzle.,2013
15411,Lessons from lipids in the fight against influenza.,2013
15412,Interspecies sex and taste.,2013
15413,Biology boom goes bust.,2013
15414,DNA methylation of transcriptional enhancers and cancer predisposition.,2013
15415,Ribosome profiling provides evidence that large noncoding RNAs do not encode proteins.,2013
15416,Genetic and neural mechanisms that inhibit Drosophila from mating with other species.,2013
15417,June is the cruelest month.,2013
15418,PolyQ proteins interfere with nuclear degradation of cytosolic proteins by sequestering the Sis1p chaperone.,2013
15419,Rate-limiting steps in yeast protein translation.,2013
15420,"Predicting C4 photosynthesis evolution: modular, individually adaptive steps on a Mount Fuji fitness landscape.",2013
15421,Horizontal gene transfer from diverse bacteria to an insect genome enables a tripartite nested mealybug symbiosis.,2013
15422,The ubiquitin ligase FBXW7 modulates leukemia-initiating cell activity by regulating MYC stability.,2013
15423,Jpx RNA activates Xist by evicting CTCF.,2013
15424,Dynein motion switches from diffusive to directed upon cortical anchoring.,2013
15425,Terminal axon branching is regulated by the LKB1-NUAK1 kinase pathway via presynaptic mitochondrial capture.,2013
15426,"PI(4,5)P(2)-dependent and Ca(2+)-regulated ER-PM interactions mediated by the extended synaptotagmins.",2013
15427,Eukaryotic stress granules are cleared by autophagy and Cdc48/VCP function.,2013
15428,SIRT1 mediates central circadian control in the SCN by a mechanism that decays with aging.,2013
15429,XBP-1 is a cell-nonautonomous regulator of stress resistance and longevity.,2013
15430,Guarding against collateral damage during chromatin transactions.,2013
15431,Pyruvate as a pivot point for oncogene-induced senescence.,2013
15432,Modeling the evolution of C4 photosynthesis.,2013
15433,Carving axon arbors to fit: master directs one kinase at a time.,2013
15434,Inside-out connections: the ER meets the plasma membrane.,2013
15435,Aging well with a little wine and a good clock.,2013
15436,Riboswitch regulation of aminoglycoside resistance acetyl and adenyl transferases.,2013
15437,"Integron attI1 sites, not riboswitches, associate with antibiotic resistance genes.",2013
15438,A bilirubin-inducible fluorescent protein from eel muscle.,2013
15439,Glycan receptor binding of the influenza A virus H7N9 hemagglutinin.,2013
15440,Structural determinants for naturally evolving H5N1 hemagglutinin to switch its receptor specificity.,2013
15441,Francois Jacob (1920-2013).,2013
15442,SnapShot: single-molecule fluorescence.,2013
15443,Structures of Drosophila cryptochrome and mouse cryptochrome1 provide insight into circadian function.,2013
15444,Reshaping antibody diversity.,2013
15445,Regulation of organismal proteostasis by transcellular chaperone signaling.,2013
15446,Visualizing GroEL/ES in the act of encapsulating a folding protein.,2013
15447,Rif1 and Rif2 shape telomere function and architecture through multivalent Rap1 interactions.,2013
15448,HIF1A employs CDK8-mediator to stimulate RNAPII elongation in response to hypoxia.,2013
15449,OTULIN antagonizes LUBAC signaling by specifically hydrolyzing Met1-linked polyubiquitin.,2013
15450,Scaling of dorsal-ventral patterning by embryo size-dependent degradation of Spemann's organizer signals.,2013
15451,Regulation of axon guidance by compartmentalized nonsense-mediated mRNA decay.,2013
15452,Posttranscriptional control of T cell effector function by aerobic glycolysis.,2013
15453,Dynamics of hippocampal neurogenesis in adult humans.,2013
15454,The hallmarks of aging.,2013
15455,Fixing a hole where the Ras gets in.,2013
15456,A new DUB makes linear ubiquitin a party to its own destruction.,2013
15457,Chromatin meets its organizers.,2013
15458,This message will self-destruct: NMD regulates axon guidance.,2013
15459,(Radio)active neurogenesis in the human hippocampus.,2013
15460,53BP1 mediates productive and mutagenic DNA repair through distinct phosphoprotein interactions.,2013
15461,Architectural protein subclasses shape 3D organization of genomes during lineage commitment.,2013
